ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
o4u,Li91.2Ge19.2P4.8S96.0,11,13.9668,23.3842,12.3196,90.0,89.967,90.0,1.78e-06,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
yy9,Li86.4Ge14.4P9.6S96.0,11,13.9016,23.454,12.3367,90.0,90.043,90.0,0.000175,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
mvq,Li81.6Ge9.6P14.4S96.0,11,13.769,23.614,12.359,90.0,90.66,90.0,0.000654,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
2yl,Li80.4Ge8.4P15.6S96.0,11,13.393,22.947,18.2009,90.0,92.562,90.0,0.00154,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
5qm,Li79.2Ge7.2P16.8S96.0,11,13.387,22.968,18.2015,90.0,92.594,90.0,0.00174,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
3jh,Li78.0Ge6.0P18.0S96.0,11,13.395,22.979,18.1981,90.0,92.591,90.0,0.0022,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
j3x,Li76.8Ge4.8P19.2S96.0,11,13.0981,24.201,12.2793,90.0,89.887,90.0,0.000555,10.1149/1.1379028,No Match,"The provided paper details the synthesis method for materials belonging to the **Li(4-x)Ge(1-x)P(x)S4** system, which is referred to as the ""thio-LISICON"" family. This includes the end members Li4GeS4 (x=0) and Li3PS4 (x=1), and solid solutions with varying 'x' values (e.g., x=0.5, x=0.75).

From your list, the following materials are stoichiometrically equivalent to compositions within the Li(4-x)Ge(1-x)P(x)S4 system and thus their synthesis method is described:
*   **Li16.0Ge4.0S16.0** (equivalent to Li4GeS4)
*   **Li14.0Ge2.0P2.0S16.0** (equivalent to Li3.5Ge0.5P0.5S4)
*   **Li12.0P4.0S16.0** (equivalent to Li3PS4)

For the vast majority of other materials in your list, their specific processing/synthesis method is not detailed in this paper, as they fall outside the Li2S-GeS2-P2S5 system (e.g., containing different elements like Bi, Sb, V, F, B, Na, Cu, Hf, Si, Al, In, Cl, Mo, W, Y, Br, Ga, C, N, O, La, Sr, Mg, Ti, Nd, Sm, K, Zn, Gd, Ta, Er, I, Mn, Cd, Ba, Ca, Te, Se, etc., or having different stoichiometries).

---

**Method Name:** Solid State Reaction

**Procedure Summary:**
High-purity starting materials, specifically lithium sulfide (Li2S), germanium disulfide (GeS2), and phosphorus pentasulfide (P2S5), are accurately weighed according to the desired molar ratios to achieve the target Li(4-x)Ge(1-x)P(x)S4 composition. These precursors are then thoroughly mixed in an inert atmosphere, specifically an argon-filled glove box, to prevent any undesirable reactions with air or moisture. The mixed powder is subsequently sealed within a carbon-coated quartz tube. This sealed tube is then heated to a high reaction temperature to facilitate the solid-state reaction and formation of the desired compound. Following the high-temperature treatment, the tube is slowly cooled to room temperature, allowing for the crystallization of the thio-LISICON material.

**Key Conditions:**
*   **Precursors:** Li2S, GeS2, P2S5 (all >99.9% purity)
*   **Mixing Atmosphere:** Argon-filled glove box
*   **Container:** Carbon-coated quartz tube
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Cooling:** Slowly cooled to room temperature"
b4c,Li8.0Si2.0S8.0,11,6.8934,7.7675,6.1241,90.0,91.225,90.0,1.59e-08,10.1006/jssc.2002.9701,Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
7se,Li91.2Si19.2P4.8S96.0,11,13.7707,23.304,12.1962,90.0,91.168,90.0,8.11e-07,10.1006/jssc.2002.9701,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
5e2,Li86.4Si14.4P9.6S96.0,11,13.6233,23.4044,12.2258,90.0,90.133,90.0,7.19e-05,10.1006/jssc.2002.9701,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
dj2,Li81.6Si9.6P14.4S96.0,11,13.3678,23.6448,12.2154,90.0,90.134,90.0,0.000662,10.1006/jssc.2002.9701,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
10u,Li76.8Si4.8P19.2S96.0,11,13.0804,24.1028,12.2338,90.0,90.03,90.0,3.2e-06,10.1006/jssc.2002.9701,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
s3r,Li8.0Al0.66Si0.66P0.66O8.0,11,5.1475,6.1779,5.3497,90.0,90.34,90.0,3.25e-06,10.1021/acsami.6b14402,No Match,
max,Li8.5Si1.5Al0.5O8.0,11,5.1496,6.1771,5.3424,90.0,90.3,90.0,2.02e-08,10.1021/acsami.6b14402,No Match,
k5y,Li7.5Si1.5P0.5O8.0,11,5.1084,6.1126,5.302,90.0,90.34,90.0,5.54e-07,10.1021/acsami.6b14402,No Match,
y2l,Li10.0Al2.0S8.0,11,6.8583,7.8369,6.2488,90.0,90.333,90.0,1.4e-09,10.1016/j.jssc.2017.09.018,Match,
gl0,Li8.4Si1.6Al0.4S8.0,11,6.903,7.787,6.125,90.0,90.877,90.0,2.4e-08,10.1006/jssc.2002.9701,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
wmr,Li8.8Si1.2Al0.8S8.0,11,6.862,7.81,6.113,90.0,90.23,90.0,3.05e-08,10.1006/jssc.2002.9701,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
xxq,Li9.2Si0.8Al1.2S8.0,11,6.858,7.82,6.217,90.0,89.947,90.0,1.46e-08,10.1006/jssc.2002.9701,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
h8o,Li9.6Si0.4Al1.6S8.0,11,6.843,7.833,6.235,90.0,89.846,90.0,2.29e-07,10.1006/jssc.2002.9701,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The materials were synthesized by first weighing high-purity starting materials, specifically Li₂S, SiS₂, Al₂S₃, and P₂S₅, in their appropriate molar ratios. These precursors were then thoroughly mixed within an argon-filled glove box to maintain an inert atmosphere. The mixed powder was subsequently transferred into a carbon-coated quartz tube. This tube was then subjected to a high-temperature heating process, after which it was slowly cooled down to room temperature.

**Key Conditions:**
*   **Reaction Temperature:** 700°C
*   **Dwell Time:** 8 hours
*   **Atmosphere:** Argon (during initial weighing and mixing), sealed in a carbon-coated quartz tube during heating."
de5,Li6.0In2.0Cl12.0,12,6.432,11.093,6.398,90.0,109.8,90.0,0.00204,10.1002/anie.201909805,Match,
cfy,Li4.0P4.0S12.0,12,11.1157,7.00704,6.52514,90.0,125.572,90.0,7.8e-11,10.1021/acs.inorgchem.7b00751,Match,
na5,Li6.0Mo16.0S16.0O80.0H94.0W2.0,12,20.6754,11.1509,14.5769,90.0,133.865,90.0,3.8e-07,10.1002/1521-3765(20020118)8:2<349::aid-chem349>3.0.co;2-5,Match,
pe2,Li17.0Sb13.0S28.0,12,12.7298,11.5837,9.2251,90.0,119.55,90.0,1.05e-09,10.1002/chem.201502052,Match,
opo,Li4.8Sn4.8S12.0,12,19.217,3.6996,6.529,90.0,109.056,90.0,0.00012,10.1039/c6ee00633g,Match,
elz,Li6.0Y2.0Br12.0,12,6.9217,11.9096,6.9326,90.0,109.553,90.0,0.00192,10.1002/adma.201803075,Close Match,
lkm,Li24.0Ge8.0O28.0,14,8.071,5.304,14.223,90.0,92.9,90.0,8.5e-07,10.4028/www.scientific.net/msf.76.107,Match,
p81,Li4.0Al4.0Cl16.0,14,7.004,6.503,12.996,90.0,93.3,90.0,1e-06,10.1149/1.2133238,Match,
bv2,Li4.0Y4.0O8.0,14,6.12,6.185,6.21,90.0,118.8,90.0,1.8e-08,10.1016/0167-2738(81)90021-7,Match,
be9,Li4.0Ga4.0Br16.0,14,13.696,6.854,7.416,90.0,93.14,90.0,7e-06,10.1016/s0167-2738(00)00491-4,Match,
n27,Li4.0B4.0O8.0,14,5.845,4.353,6.454,90.0,115.09,90.0,1e-08,10.1140/epjst/e2008-00753-4,Match,
goi,Li4.0Cl4.0C12.0H28.0N4.0O4.0,14,5.839,6.39,15.961,90.0,98.826,90.0,0.00016,10.1021/acs.chemmater.5b00940,Match,
